Uuid,Void/Retire,Name,Description,Parent,Tags,Tag,Attribute|8a845a89-6aa5-4111-81d3-0af31c45c002,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000,Tag|Admission Location,Tag|Transfer Location,Tag|Maternity Ward,Tag|Queue Location
8fafb72b-5d8a-11f0-bce8-00155d04a9b9,,Voi Prison VCT,Medical Clinic,,,,30464,,,,,Mbololo,Voi,,Taita Taveta,Taita Taveta,,Kenya,,,,,
6cd6b6d0-811e-45d1-ba21-92a85d7e0934,,God Agulu Health Centre,Medical Clinic,,,,28520,,,,,West Kasipul,Rachuonyo South,,Homa Bay,Homa Bay,,Kenya,,,,,
4f6ef0c1-7d4c-40cf-af01-3495f6d4a860,,MCH,Queue Location,,,,98939,,,,,,,,,,,Kenya,,,,,TRUE
f8c26408-c58d-4f9e-828d-947933017d4f,,OPD,Queue Location,,,,97969,,,,,,,,,,,Kenya,,,,,TRUE
97bdaceb-0788-40eb-8535-c061b8968399,,Antenatal Ward,Ward Location,,,,99969,,,,,,,,,,,Kenya,,TRUE,TRUE,TRUE,
687d6a98-2ca0-47df-a979-03812b52466f,,Labour Ward,Ward Location,,,,99869,,,,,,,,,,,Kenya,,TRUE,TRUE,TRUE,
2e9b22a0-9c04-4796-ada0-f408b13e6792,,Postnatal Ward,Ward Location,,,,99069,,,,,,,,,,,Kenya,,TRUE,TRUE,TRUE,
f24661e6-b7ae-4de0-99ad-6b709335326a,,Arombe Medical Center,Medical Clinic,,,,28500,,,,,Kanyadoto,Ndhiwa,,Homa Bay,Homa Bay,,Kenya,,,,,
c8de1999-0efa-4997-8ceb-39f54d8a6f58,,Kochieng Health Centre ,Health Centre,,,,21671,,,,,Kobura,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
8fb27bff-ccae-483c-b440-990823974b6e,,Lela Health Centre,Health Centre,,,,27415,,,,,Kobura,Kadibo,,Kisumu,Homa Bay,,Kenya,,,,,
57649a9e-caf4-42be-8ca6-0db70ab653eb,,Nyamware Health Centre,Health Centre,,,,27104,,,,,Kobura,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
a2176098-c7fe-4ea8-af82-ef44428ef1e6,,Okana Dispensary,Dispensary,,,,20666,,,,,Kobura,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
ab42eafd-7599-466a-9626-a6c362daaa18,,Komwaga Health Center,Health Center,,,,21310,,,,,Kabonyo Kanyagwal,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
a712c8e9-9ede-4076-af30-982735f5d4c5,,Ugwe Health Centre,Health Centre,,,,29904,,,,,Kabonyo/Kanyagwal,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
6719354c-2864-482e-81e1-cd8f4fa4bfdc,,Absalom Wangulu Dispensary,Dispensary,,,,20524,,,,,Kabonyo/Kanyagwal,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
57fe0996-95fb-40fa-a2c5-6871b308d9f5,,Kadhiambo dispensary ,Dispensary,,,,21657,,,,,Kabonyo/Kanyagwal,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
98006537-78ee-47d4-86c7-00c2a2392a6e,,Koduol Reru Dispensary,Dispensary,,,,20531,,,,,Kabonyo/Kanyagwal,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
5734c0c0-d4ec-4384-908d-fc2c49110986,,Kanyagwal Dispensary,Dispensary,,,,13654,,,,,Kabonyo/Kanyagwal,Kadibo,,Kisumu,Kisumu,,Kenya,,,,,
6073bbd7-7a9f-4035-9546-bf82b584c60b,,Beyond Zero Mobile Medical Clinic(Kisumu),Medical Clinic,,,,20965,,,,,Kondele,Kisumu Central,,Kisumu,Kisumu,,Kenya,,,,,
61b24d13-7905-4915-bd7e-9509f6b2898b,,Dunga GoK Dispensary,Dispensary,,,,22064,,,,,Nyalenda B,Kisumu Central,,Kisumu,Kisumu,,Kenya,,,,,
42799e6f-fe02-4e96-a659-cd2a5d153aba,,Kanyakwar Dispensary,Dispensary,,,,29554,,,,,Railways,Kisumu Central,,Kisumu,Kisumu,,Kenya,,,,,
e58c2348-b006-43de-937e-47fd847c7890,,St Lydia okore Dispensary ,Dispensary,,,,21706,,,,,Railways,Kisumu Central,,Kisumu,Kisumu,,Kenya,,,,,
02587a17-76e7-4590-95c9-9c76b6d0b19f,,Obunga dispensary,Dispensary,,,,29553,,,,,Railways,Kisumu Central,,Kisumu,Kisumu,,Kenya,,,,,
4be68163-1736-45dd-bcc7-b9994fd535bc,,Orongo Dispensary ,Dispensary,,,,21047,,,,,Kolwa East,Kisumu East,,Kisumu,Kisumu,,Kenya,,,,,
de8d4029-b9e6-428c-9f0d-06c8e316eff0,,Obino Dispensary,Dispensary,,,,29396,,,,, Kolwa East,Kisumu East,,Kisumu,Kisumu,,Kenya,,,,,
10da24c4-5be7-4457-88f8-eb82b67c2bbf,,Kotunga Dispensary ,Dispensary,,,,21899,,,,,Kajulu,Kisumu East,,Kisumu,Kisumu,,Kenya,,,,,
cd933a36-3a42-42a9-902e-aee424355a9b,,Ongadi Dispensary ,Dispensary,,,,29412,,,,,Kajulu,Kisumu East,,Kisumu,Kisumu,,Kenya,,,,,
71b52d2e-f371-4412-a890-c6e2297427d3,,Kuoyo Health Center,Health Center,,,,21705,,,,,Manyatta B ,Kisumu East,,Kisumu,Kisumu,,Kenya,,,,,
f546151b-d412-44a4-8757-8d05e8c08edf,,Aboge Health Centre,Health Centre,,,,23541,,,,,West Kisumu ,Kisumu West,,Kisumu,Kisumu,,Kenya,,,,,
f19185c3-d7a8-4f27-94da-cbbf1124f9dd,,Gombe Kokulo Health Centre,Health Centre,,,,25958,,,,,West Kisumu ,Kisumu West,,Kisumu,Kisumu,,Kenya,,,,,
5c9d6a1d-7062-4e54-ab4a-ad1c5cc2de16,,Lwala Kadawa Health Centre,Health Centre,,,,17174,,,,,West Kisumu ,Kisumu West,,Kisumu,Kisumu,,Kenya,,,,,
15bb2a61-2b81-4014-90fc-afad0383714a,,Barkorumba Health Centre,Health Centre,,,,25956,,,,, Kisumu North,Kisumu West,,Kisumu,Kisumu,,Kenya,,,,,
